sample,popmaplabel,county,state,endemic95,quadrant,sex,popcolor2
AL07701,AL077,"Lauderdale County, AL",AL,Out,Southwest,male,#f9f50c
AL07702,AL077,"Lauderdale County, AL",AL,Out,Southwest,male,#f9f50c
AL07703,AL077,"Lauderdale County, AL",AL,Out,Southwest,male,#f9f50c
AL07704,AL077,"Lauderdale County, AL",AL,Out,Southwest,male,#f9f50c
AL07705,AL077,"Lauderdale County, AL",AL,Out,Southwest,male,#f9f50c
AL07706,AL077,"Lauderdale County, AL",AL,Out,Southwest,female,#f9f50c
AL07707,AL077,"Lauderdale County, AL",AL,Out,Southwest,male,#f9f50c
DE00101,DE001,"Kent County, DE",DE,In,Northeast,male,#010575
DE00102,DE001,"Kent County, DE",DE,In,Northeast,male,#010575
DE00103,DE001,"Kent County, DE",DE,In,Northeast,male,#010575
DE00104.ms,DE001,"Kent County, DE",DE,In,Northeast,male,#010575
DE00105,DE001,"Kent County, DE",DE,In,Northeast,male,#010575
DE00106,DE001,"Kent County, DE",DE,In,Northeast,male,#010575
DE00107,DE001,"Kent County, DE",DE,In,Northeast,male,#010575
DE00108.ms,DE001,"Kent County, DE",DE,In,Northeast,female,#010575
DE00109.ms,DE001,"Kent County, DE",DE,In,Northeast,male,#010575
DE00111,DE001,"Kent County, DE",DE,In,Northeast,male,#010575
DE00112,DE001,"Kent County, DE",DE,In,Northeast,male,#010575
FL06501.ms,FL065,"Jefferson County, FL",FL,Out,Southeast,male,#8c1505
FL06502.ms,FL065,"Jefferson County, FL",FL,Out,Southeast,male,#8c1505
FL06503,FL065,"Jefferson County, FL",FL,Out,Southeast,male,#8c1505
FL06504,FL065,"Jefferson County, FL",FL,Out,Southeast,male,#8c1505
FL06505,FL065,"Jefferson County, FL",FL,Out,Southeast,female,#8c1505
FL06506.ms,FL065,"Jefferson County, FL",FL,Out,Southeast,male,#8c1505
FL06507,FL065,"Jefferson County, FL",FL,Out,Southeast,male,#8c1505
FL09701.ms,FL097,"Osceola County, FL",FL,Out,Southeast,male,#a01d0e
FL09702.ms,FL097,"Osceola County, FL",FL,Out,Southeast,male,#a01d0e
FL09704.ms,FL097,"Osceola County, FL",FL,Out,Southeast,male,#a01d0e
FL09705.ms,FL097,"Osceola County, FL",FL,Out,Southeast,male,#a01d0e
FL09707.ms,FL097,"Osceola County, FL",FL,Out,Southeast,male,#a01d0e
