loci,chi^2,df,Pr(chi^2 >),Pr.exact
348:21:-,5.842677175,1,0.015642009,0.034
348:23:-,87.20200084,1,0,0
348:34:-,11.27736989,1,0.000784576,0.001
348:123:-,42.99320169,1,5.49E-11,0
348:124:-,13.63553481,1,0.000221945,0.001
348:133:-,218.5117032,1,0,0
348:211:-,7.929183969,1,0.004864373,0.021
348:245:-,16.92816,1,3.88E-05,0.001
348:255:-,64.63966372,1,8.88E-16,0
348:259:-,90.80241626,1,0,0
348:273:-,11.17560713,1,0.000828798,0.004
348:289:-,31.00064274,1,2.58E-08,0
348:290:-,18.21357125,1,1.97E-05,0
363:118:+,131.5958052,1,0,0
363:237:+,85.00764327,1,0,0
396:23:-,44.20854296,1,2.95E-11,0
396:41:-,25.54140263,1,4.33E-07,0
396:43:-,12.97058824,1,0.000316423,0.001
396:47:-,48.47610433,1,3.34E-12,0
396:49:-,52.46952514,1,4.37E-13,0
396:79:-,67.01834976,1,2.22E-16,0
396:113:-,35.70773977,1,2.29E-09,0
396:116:-,41.59969668,1,1.12E-10,0
396:132:-,45.35568687,1,1.64E-11,0
396:136:-,84.09040634,1,0,0
396:246:-,90.48086883,1,0,0
396:275:-,88.27067292,1,0,0
1788:47:-,78.75116802,1,0,0
1788:111:-,89.3582489,1,0,0
1788:112:-,89.3582489,1,0,0
1788:113:-,123.7991807,1,0,0
1926:78:-,96.5077543,1,0,0
1926:103:-,36.71351833,1,1.37E-09,0
1926:114:-,38.17551782,1,6.47E-10,0
1926:116:-,41.37721645,1,1.26E-10,0
1926:209:-,44.40970145,1,2.66E-11,0
1926:210:-,131.8764566,1,0,0
1984:15:-,32.52920918,1,1.17E-08,0
1984:21:-,66.73460805,1,3.33E-16,0
1984:38:-,46.07620085,1,1.14E-11,0
1984:39:-,61.53126088,1,4.33E-15,0
1984:44:-,59.26530612,1,1.38E-14,0
1984:47:-,31.01025494,1,2.57E-08,0
1984:55:-,32.52920918,1,1.17E-08,0
1984:56:-,34.23585736,1,4.88E-09,0
1984:80:-,30.84559662,1,2.79E-08,0
1984:100:-,77.18812657,1,0,0
1984:103:-,53.17733541,1,3.05E-13,0
1984:124:-,48.89610055,1,2.70E-12,0
1984:129:-,70.35781812,1,0,0
1984:140:-,41.70702715,1,1.06E-10,0
1984:171:-,66.69404718,1,3.33E-16,0
1984:175:-,58.13995377,1,2.44E-14,0
1984:186:-,114.7847748,1,0,0
1984:205:-,54.50557005,1,1.55E-13,0
1984:236:-,70.92293482,1,0,0
1984:270:-,44.11136759,1,3.10E-11,0
1984:294:-,97.95918367,1,0,0
2025:40:-,4.025507518,1,0.044817134,0.069
2025:46:-,107.5512024,1,0,0
2025:62:-,10.21436025,1,0.001393513,0.01
2025:102:-,43.03986214,1,5.36E-11,0
2025:128:-,19.50529104,1,1.00E-05,0
2849:135:+,60.43689018,1,7.55E-15,0
2849:191:+,98.80928511,1,0,0
2849:265:+,36.49629616,1,1.53E-09,0
2849:284:+,159.6244682,1,0,0
3114:44:-,30.42060233,1,3.48E-08,0
3114:58:-,119.4479152,1,0,0
3114:112:-,53.44373409,1,2.66E-13,0
3114:114:-,61.71609475,1,4.00E-15,0
3412:22:-,6.715094282,1,0.009560024,0.032
3412:44:-,12.88965118,1,0.000330404,0.004
3412:80:-,52.82259988,1,3.65E-13,0
3412:137:-,7.440301527,1,0.00637792,0.019
3412:141:-,34.59498367,1,4.06E-09,0
3412:159:-,0.839616067,1,0.359506599,0.29
4314:42:+,35.59320494,1,2.43E-09,0
4314:60:+,26.98193018,1,2.05E-07,0
4314:76:+,163.8503472,1,0,0
4314:94:+,37.04392902,1,1.15E-09,0
4314:107:+,66.77557464,1,3.33E-16,0
4314:110:+,163.8503472,1,0,0
4314:140:+,60.09559212,1,8.99E-15,0
4470:10:+,28.25302155,1,1.06E-07,0
4470:13:+,7.784617909,1,0.005269293,0.009
4470:44:+,16.44305058,1,5.01E-05,0
4470:49:+,6.522875112,1,0.01064957,0.026
4470:57:+,48.15588997,1,3.94E-12,0
4470:126:+,35.51470828,1,2.53E-09,0
4470:130:+,7.130160702,1,0.007579793,0.019
4875:12:-,19.55382012,1,9.78E-06,0
4875:42:-,17.9564974,1,2.26E-05,0
4875:48:-,15.97367483,1,6.42E-05,0
4875:63:-,29.57439075,1,5.38E-08,0
4875:95:-,13.0092867,1,0.00030995,0
4875:115:-,36.25291997,1,1.73E-09,0
4875:122:-,37.12536129,1,1.11E-09,0
4875:153:-,57.75997646,1,2.96E-14,0
4875:208:-,50.80912669,1,1.02E-12,0
4875:225:-,34.34135824,1,4.62E-09,0
4875:228:-,65.73110005,1,5.55E-16,0
4875:267:-,50.18023909,1,1.40E-12,0
4875:268:-,8.311179061,1,0.00394018,0.011
4883:36:+,4.302362079,1,0.038059477,0.076
4883:38:+,4.302362079,1,0.038059477,0.081
4883:43:+,3.442100572,1,0.063554841,0.083
4883:46:+,8.128727392,1,0.004356932,0.013
4883:62:+,39.29979672,1,3.63E-10,0
5092:29:+,121.8029731,1,0,0
5092:124:+,110.7821059,1,0,0
5253:8:-,12.24609562,1,0.000466233,0.003
5253:39:-,63.48848826,1,1.67E-15,0
5253:44:-,49.47028579,1,2.01E-12,0
5253:46:-,16.22928271,1,5.61E-05,0
5253:128:-,16.66661372,1,4.46E-05,0
5281:12:+,3.821768997,1,0.050590799,0.057
5281:25:+,107.4852348,1,0,0
5281:48:+,6.175355128,1,0.012954191,0.024
5281:129:+,12.13604205,1,0.000494566,0.004
5281:148:+,43.91765659,1,3.42E-11,0
5496:66:-,59.83116919,1,1.03E-14,0
5496:74:-,115.4115258,1,0,0
5496:76:-,34.59562639,1,4.06E-09,0
5496:100:-,4.328333333,1,0.037482931,0.07
5496:106:-,57.28596712,1,3.76E-14,0
5545:72:-,127.3377132,1,0,0
5545:81:-,125.4902446,1,0,0
5545:115:-,34.50395131,1,4.25E-09,0
5545:138:-,9.090164131,1,0.002569878,0.005
5568:12:-,88.45575171,1,0,0
5568:40:-,97.62370517,1,0,0
5568:70:-,80.72457862,1,0,0
5568:101:-,193.1241938,1,0,0
5679:15:-,53.04468381,1,3.26E-13,0
5679:27:-,36.52342155,1,1.51E-09,0
5679:43:-,40.89510379,1,1.61E-10,0
5679:47:-,8.778254428,1,0.003048428,0.009
5679:54:-,56.37775905,1,5.98E-14,0
5679:84:-,48.52661557,1,3.26E-12,0
5679:105:-,76.03694182,1,0,0
5679:363:-,13.67892325,1,0.000216875,0
5679:378:-,96.26291804,1,0,0
5679:383:-,13.67892325,1,0.000216875,0
5679:445:-,28.69272556,1,8.48E-08,0
6131:65:+,38.5067455,1,5.46E-10,0
6131:77:+,80.12258485,1,0,0
6131:178:+,54.21705038,1,1.80E-13,0
6131:194:+,84.51348568,1,0,0
6131:277:+,87.93431503,1,0,0
6342:10:+,18.61177119,1,1.60E-05,0
6342:46:+,21.63799979,1,3.29E-06,0
6342:91:+,8.233786068,1,0.004111766,0.021
6342:92:+,10.71774544,1,0.001061129,0.012
6342:94:+,12.77097403,1,0.000352039,0.011
6342:125:+,13.2849242,1,0.000267549,0.004
6342:135:+,8.506515859,1,0.00353877,0.005
6433:6:-,10.03856567,1,0.001532965,0.002
6433:29:-,0.966155882,1,0.325640766,0.284
6433:53:-,19.0935351,1,1.24E-05,0.002
6433:84:-,0.061859519,1,0.803580674,0.702
6433:100:-,5.329406298,1,0.020968527,0.034
6433:104:-,16.15516072,1,5.84E-05,0.001
6433:116:-,0.830159934,1,0.362226287,0.368
6433:139:-,3.403549002,1,0.065056306,0.056
6539:22:-,8.039542694,1,0.004576709,0
6539:70:-,18.68052082,1,1.55E-05,0
6539:126:-,2.195886629,1,0.138379564,0.179
6539:257:-,19.27707699,1,1.13E-05,0
6546:40:+,5.522689407,1,0.018771379,0.028
6546:96:+,20.77030429,1,5.18E-06,0
6546:102:+,4.594346609,1,0.032077567,0.039
6546:140:+,46.70350343,1,8.26E-12,0
6690:13:+,14.06304782,1,0.000176783,0.002
6690:17:+,14.13130897,1,0.000170483,0
6690:34:+,26.7183388,1,2.35E-07,0
6690:52:+,2.100681756,1,0.147233477,0.175
6690:100:+,28.40038974,1,9.86E-08,0
6690:139:+,39.75092955,1,2.89E-10,0
6753:7:+,26.66117094,1,2.42E-07,0
6753:8:+,26.66117094,1,2.42E-07,0
6753:19:+,27.5419204,1,1.54E-07,0
6753:25:+,74.0850055,1,0,0
6753:63:+,8.930066356,1,0.002805142,0.004
6753:135:+,12.57807571,1,0.000390298,0
6753:179:+,34.42733556,1,4.42E-09,0
6753:216:+,28.76215802,1,8.18E-08,0
6753:225:+,55.82118508,1,7.94E-14,0
6753:250:+,39.37104704,1,3.50E-10,0
6753:263:+,50.2041866,1,1.39E-12,0
6753:274:+,54.80229875,1,1.33E-13,0
6964:37:+,2.357278254,1,0.124699587,0.113
6964:79:+,2.357278254,1,0.124699587,0.138
6964:90:+,10.62361576,1,0.001116525,0.005
6964:159:+,1.985456797,1,0.158816723,0.18
6964:274:+,0.279098956,1,0.597292402,0.671
7240:52:-,41.6745639,1,1.08E-10,0
7240:56:-,37.5,1,9.14E-10,0
7240:62:-,51.50184728,1,7.15E-13,0
7240:107:-,45.5720129,1,1.47E-11,0
7240:128:-,60.5415015,1,7.22E-15,0
7243:19:-,48.28519798,1,3.69E-12,0
7243:23:-,35.1620913,1,3.03E-09,0
7280:13:-,47.93859956,1,4.40E-12,0
7280:16:-,31.60333438,1,1.89E-08,0
7280:29:-,37.57982925,1,8.77E-10,0
7280:36:-,32.00571509,1,1.54E-08,0
7280:90:-,29.6939215,1,5.06E-08,0
7280:116:-,29.95465742,1,4.42E-08,0
7280:117:-,31.23140043,1,2.29E-08,0
7280:135:-,37.05103453,1,1.15E-09,0
7405:16:+,20.07206943,1,7.46E-06,0
7405:49:+,17.26440593,1,3.25E-05,0.001
7405:129:+,24.04255278,1,9.42E-07,0
7405:255:+,17.3075962,1,3.18E-05,0
7405:258:+,14.86069254,1,0.00011575,0.001
7405:264:+,4.921875,1,0.026518722,0.029
7405:286:+,5.216357191,1,0.022375376,0.03
7405:292:+,14.86069254,1,0.00011575,0
7405:332:+,22.37749293,1,2.24E-06,0
7405:336:+,14.86069254,1,0.00011575,0
7486:54:+,12.51213324,1,0.000404318,0.002
7486:60:+,12.51213324,1,0.000404318,0
7486:67:+,18.16106789,1,2.03E-05,0
7486:119:+,8.171167827,1,0.004256149,0.002
7669:20:-,5.02537452,1,0.024978523,0.038
7669:52:-,23.83502168,1,1.05E-06,0
7669:115:-,17.07677434,1,3.59E-05,0
7669:121:-,5.551270007,1,0.018467283,0.038
7669:127:-,26.23621197,1,3.02E-07,0
7669:129:-,5.631770476,1,0.017637808,0.021
7669:135:-,16.27377212,1,5.48E-05,0.001
7669:137:-,25.57452857,1,4.26E-07,0
7905:47:-,19.31785301,1,1.11E-05,0
7905:105:-,16.84609466,1,4.05E-05,0
7905:124:-,16.21460336,1,5.66E-05,0
7944:56:-,16.21333824,1,5.66E-05,0
7944:87:-,5.648021299,1,0.01747508,0.018
7944:88:-,5.648021299,1,0.01747508,0.035
7944:94:-,14.01203306,1,0.000181644,0
7944:99:-,35.56704972,1,2.46E-09,0
7944:103:-,4.331778403,1,0.037407143,0.048
8256:69:-,31.74400947,1,1.76E-08,0
8256:83:-,5.286147066,1,0.021495728,0.025
8256:84:-,17.6918928,1,2.60E-05,0
8256:99:-,18.02036104,1,2.19E-05,0
8256:159:-,7.377744298,1,0.006603594,0.014
8256:255:-,5.718819795,1,0.016784009,0.019
8493:212:+,28.67044894,1,8.58E-08,0
8493:213:+,20.80528019,1,5.08E-06,0
8493:221:+,13.10589663,1,0.000294368,0.001
8493:288:+,102.9848273,1,0,0
8493:300:+,34.32921619,1,4.65E-09,0
8534:121:+,3.907514258,1,0.048070648,0.064
8534:130:+,16.97467639,1,3.79E-05,0
8579:75:+,118.9596137,1,0,0
8579:90:+,91.78857017,1,0,0
8579:125:+,112.0726109,1,0,0
8630:20:+,8.318010506,1,0.003925389,0.006
8630:102:+,2.09996678,1,0.147302339,0.12
8987:38:+,60.18037373,1,8.66E-15,0
8987:69:+,62.39050117,1,2.78E-15,0
9023:27:-,8.169478561,1,0.004260115,0.005
9140:12:-,15.00370157,1,0.000107301,0
